Recipe_Name,Ingredients,Label,Category,Recipe Steps,Nutrition Facts
Keema Pav,"egg, beef, rice, cheese",Non-Veg,"breakfast, dinner, appetizer","1. Gather all ingredients: egg, beef, rice, cheese. 2. Prepare the ingredients for keema pav (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Butter Chicken,"salami, fish, broccoli, beans",Non-Veg,"brunch, main course","1. Gather all ingredients: salami, fish, broccoli, beans. 2. Prepare the ingredients for butter chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Butter Chicken,"anchovy, broccoli, lentils, capsicum",Non-Veg,supper,"1. Gather all ingredients: anchovy, broccoli, lentils, capsicum. 2. Prepare the ingredients for butter chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Keema Pav,"salami, peas, beetroot",Non-Veg,"side dish, main course, snack","1. Gather all ingredients: salami, peas, beetroot. 2. Prepare the ingredients for keema pav (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Fish Fry,"bacon, peas, beetroot",Non-Veg,lunch,"1. Gather all ingredients: bacon, peas, beetroot. 2. Prepare the ingredients for fish fry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Tandoori Chicken,"egg, anchovy, tomato, potato, cauliflower",Non-Veg,"snack, dinner, breakfast","1. Gather all ingredients: egg, anchovy, tomato, potato, cauliflower. 2. Prepare the ingredients for tandoori chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Kachori,"mushroom, broccoli, potato, beetroot, lentils",Veg,"appetizer, supper","1. Gather all ingredients: mushroom, broccoli, potato, beetroot, lentils. 2. Prepare the ingredients for kachori (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Pakora,"rice, beetroot, potato, onion",Veg,"main course, side dish, dinner","1. Gather all ingredients: rice, beetroot, potato, onion. 2. Prepare the ingredients for pakora (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Stuffed Capsicum,"potato, beetroot, tomato",Veg,"main course, breakfast, dinner","1. Gather all ingredients: potato, beetroot, tomato. 2. Prepare the ingredients for stuffed capsicum (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Paneer Tikka,"potato, cauliflower, broccoli, peas",Veg,appetizer,"1. Gather all ingredients: potato, cauliflower, broccoli, peas. 2. Prepare the ingredients for paneer tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Tandoori Chicken,"egg, chicken, tomato, cheese, onion",Non-Veg,"side dish, snack, breakfast","1. Gather all ingredients: egg, chicken, tomato, cheese, onion. 2. Prepare the ingredients for tandoori chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Stuffed Capsicum,"potato, beans, cheese, lentils",Veg,"brunch, dinner","1. Gather all ingredients: potato, beans, cheese, lentils. 2. Prepare the ingredients for stuffed capsicum (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Roti Sabzi,"mushroom, beans, tomato, corn",Veg,side dish,"1. Gather all ingredients: mushroom, beans, tomato, corn. 2. Prepare the ingredients for roti sabzi (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chole Bhature,"mushroom, spinach, cauliflower, beans, cheese",Veg,"main course, supper","1. Gather all ingredients: mushroom, spinach, cauliflower, beans, cheese. 2. Prepare the ingredients for chole bhature (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Methi Paratha,"mushroom, corn, tomato, broccoli, paneer",Veg,supper,"1. Gather all ingredients: mushroom, corn, tomato, broccoli, paneer. 2. Prepare the ingredients for methi paratha (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Keema Pav,"salami, carrot, paneer",Non-Veg,"breakfast, dinner, snack","1. Gather all ingredients: salami, carrot, paneer. 2. Prepare the ingredients for keema pav (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Paneer Butter Masala,"tomato, cheese, corn, carrot",Veg,"breakfast, side dish","1. Gather all ingredients: tomato, cheese, corn, carrot. 2. Prepare the ingredients for paneer butter masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Rajma Chawal,"peas, rice, cauliflower, broccoli, cheese",Veg,"side dish, breakfast","1. Gather all ingredients: peas, rice, cauliflower, broccoli, cheese. 2. Prepare the ingredients for rajma chawal (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Egg Bhurji,"bacon, onion, beans",Non-Veg,"breakfast, snack","1. Gather all ingredients: bacon, onion, beans. 2. Prepare the ingredients for egg bhurji (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Palak Paneer,"potato, cauliflower, paneer, carrot",Veg,"snack, main course","1. Gather all ingredients: potato, cauliflower, paneer, carrot. 2. Prepare the ingredients for palak paneer (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Besan Chilla,"spinach, paneer, tomato",Veg,"supper, appetizer","1. Gather all ingredients: spinach, paneer, tomato. 2. Prepare the ingredients for besan chilla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Egg Roll,"egg, beef, rice, spinach, onion",Non-Veg,breakfast,"1. Gather all ingredients: egg, beef, rice, spinach, onion. 2. Prepare the ingredients for egg roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chana Masala,"lentils, cheese, carrot, mushroom",Veg,"snack, dinner, side dish","1. Gather all ingredients: lentils, cheese, carrot, mushroom. 2. Prepare the ingredients for chana masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Korma,"fish, paneer, cauliflower",Non-Veg,"snack, brunch","1. Gather all ingredients: fish, paneer, cauliflower. 2. Prepare the ingredients for chicken korma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Tikka,"egg, corn, capsicum",Non-Veg,"supper, snack","1. Gather all ingredients: egg, corn, capsicum. 2. Prepare the ingredients for chicken tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Tikka,"mutton, beef, onion, broccoli, potato",Non-Veg,"dinner, main course","1. Gather all ingredients: mutton, beef, onion, broccoli, potato. 2. Prepare the ingredients for chicken tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Kadhi Chawal,"beetroot, broccoli, lentils, cheese",Veg,"breakfast, main course","1. Gather all ingredients: beetroot, broccoli, lentils, cheese. 2. Prepare the ingredients for kadhi chawal (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Paneer Tikka,"cauliflower, beetroot, potato, mushroom",Veg,"side dish, lunch","1. Gather all ingredients: cauliflower, beetroot, potato, mushroom. 2. Prepare the ingredients for paneer tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Mutton Biryani,"egg, paneer, cauliflower, tomato",Non-Veg,"brunch, side dish","1. Gather all ingredients: egg, paneer, cauliflower, tomato. 2. Prepare the ingredients for mutton biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Egg Roll,"anchovy, salami, tomato, beetroot, carrot",Non-Veg,lunch,"1. Gather all ingredients: anchovy, salami, tomato, beetroot, carrot. 2. Prepare the ingredients for egg roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Curry,"anchovy, chicken, beetroot, mushroom",Non-Veg,"brunch, lunch, dinner","1. Gather all ingredients: anchovy, chicken, beetroot, mushroom. 2. Prepare the ingredients for chicken curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chana Masala,"lentils, potato, carrot, spinach, rice",Veg,"main course, dinner","1. Gather all ingredients: lentils, potato, carrot, spinach, rice. 2. Prepare the ingredients for chana masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Palak Paneer,"lentils, rice, capsicum, carrot, corn",Veg,"appetizer, lunch, supper","1. Gather all ingredients: lentils, rice, capsicum, carrot, corn. 2. Prepare the ingredients for palak paneer (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Egg Roll,"fish, turkey, broccoli, potato",Non-Veg,breakfast,"1. Gather all ingredients: fish, turkey, broccoli, potato. 2. Prepare the ingredients for egg roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Fish Fry,"chicken, peas, broccoli",Non-Veg,"lunch, main course, breakfast","1. Gather all ingredients: chicken, peas, broccoli. 2. Prepare the ingredients for fish fry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Mutton Rogan Josh,"prawns, onion, corn, broccoli",Non-Veg,"side dish, brunch, dinner","1. Gather all ingredients: prawns, onion, corn, broccoli. 2. Prepare the ingredients for mutton rogan josh (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Rajma Chawal,"beans, corn, carrot",Veg,main course,"1. Gather all ingredients: beans, corn, carrot. 2. Prepare the ingredients for rajma chawal (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Mutton Biryani,"prawns, tomato, lentils",Non-Veg,snack,"1. Gather all ingredients: prawns, tomato, lentils. 2. Prepare the ingredients for mutton biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Upma,"mushroom, cheese, rice, peas, broccoli",Veg,"breakfast, appetizer","1. Gather all ingredients: mushroom, cheese, rice, peas, broccoli. 2. Prepare the ingredients for upma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Pakora,"cheese, mushroom, lentils, carrot, beans",Veg,"main course, brunch, snack","1. Gather all ingredients: cheese, mushroom, lentils, carrot, beans. 2. Prepare the ingredients for pakora (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Baingan Bharta,"onion, carrot, peas",Veg,"supper, main course","1. Gather all ingredients: onion, carrot, peas. 2. Prepare the ingredients for baingan bharta (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Mutton Rogan Josh,"prawns, turkey, cheese, spinach, beetroot",Non-Veg,snack,"1. Gather all ingredients: prawns, turkey, cheese, spinach, beetroot. 2. Prepare the ingredients for mutton rogan josh (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Egg Bhurji,"prawns, capsicum, mushroom, peas",Non-Veg,supper,"1. Gather all ingredients: prawns, capsicum, mushroom, peas. 2. Prepare the ingredients for egg bhurji (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Aloo Tikki,"beetroot, mushroom, peas, corn, cauliflower",Veg,lunch,"1. Gather all ingredients: beetroot, mushroom, peas, corn, cauliflower. 2. Prepare the ingredients for aloo tikki (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Mutton Biryani,"turkey, chicken, broccoli, paneer, onion",Non-Veg,"side dish, breakfast, dinner","1. Gather all ingredients: turkey, chicken, broccoli, paneer, onion. 2. Prepare the ingredients for mutton biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
