Recipe_Name,Ingredients,Label
Bhindi Fry,"bread, mayonnaise, pasta, potato, spices",Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Bhindi Fry,"egg, green chili, mayonnaise, oil, pepper, rice, salt, yogurt",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Keema Pav,"butter, curd, paneer, potato, yogurt",Non-Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Egg Bhurji,"mayonnaise, oil, paneer, pepper, poha",Non-Veg
Chicken Soup,"bread, butter, capsicum, lemon juice, oil, paneer, tomato",Non-Veg
Chicken Noodles,"bread, capsicum, chole, mayonnaise, onion, pepper, soy sauce, tomato",Non-Veg
Upma,"capsicum, lemon juice, poha, rajma, salt",Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Grilled Veggie Wrap,"chicken, garlic, poha, potato, salt, spices, yogurt",Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Rajma,"butter, chicken, egg, mayonnaise, oil, onion, palak, rajma",Non-Veg
Mutton Rogan Josh,"bread, garlic, oil, pasta, rice, tomato",Non-Veg
Rajma,"capsicum, chicken, chole, egg, pasta, soy sauce",Non-Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Tomato Soup,"butter, garlic, onion, pepper, salt, tomato",Veg
Egg Bhurji,"chole, curd, egg, mushroom, mustard seeds, pepper",Non-Veg
Tomato Soup,"butter, garlic, onion, pepper, salt, tomato",Veg
Mutton Rogan Josh,"egg, ginger, lemon juice, pepper, poha, soy sauce, yogurt",Non-Veg
Prawn Masala,"capsicum, green chili, onion, palak, paneer, rice, yogurt",Non-Veg
Upma,"chicken, curd, egg, garlic, mustard seeds, paneer, rice",Non-Veg
Chicken Noodles,"chicken, garlic, mayonnaise, pepper, potato, tomato, yogurt",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Dal Tadka,"bread, chicken, garlic, pasta, pepper, poha, potato",Veg
Vegetable Pulao,"capsicum, curd, mushroom, oil, paneer, pepper, salt, tomato",Veg
Chicken Cutlet,"curd, garlic, lemon juice, onion, potato, soy sauce",Non-Veg
Fish Curry,"bread, butter, chicken, chole, lemon juice, paneer, salt, tomato",Non-Veg
Chole,"chicken, eggs, green chili, mushroom, palak, pasta, rajma",Non-Veg
Chicken Cutlet,"bread, lemon juice, oil, onion, rice, soy sauce, spices, yogurt",Non-Veg
Chicken Cutlet,"capsicum, chole, curd, egg, potato, rajma, spices",Non-Veg
Grilled Veggie Wrap,"curd, lemon juice, mushroom, pasta, salt",Veg
Upma,"curd, egg, palak, paneer, pepper",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Bhindi Fry,"chole, mushroom, oil, paneer, potato, rajma, soy sauce, spices",Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Rajma,"chicken, green chili, mushroom, oil, palak, rajma",Veg
Chole,"butter, capsicum, ginger, lemon juice, mushroom, onion",Veg
Mix Veg Curry,"butter, chicken, garlic, paneer, pasta, pepper, potato, soy sauce",Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Matar Paneer,"butter, egg, lemon juice, mayonnaise, pepper, rajma, tomato, yogurt",Non-Veg
Fish Curry,"butter, garlic, paneer, rajma, rice, soy sauce, yogurt",Non-Veg
Mutton Rogan Josh,"bread, chicken, chole, mushroom, mustard seeds, rajma, salt, soy sauce",Non-Veg
Fish Curry,"bread, curd, mushroom, pepper, rice, salt",Non-Veg
Vegetable Pulao,"capsicum, garlic, green chili, spices, tomato",Veg
Fish Curry,"lemon juice, onion, poha, rajma, salt, soy sauce",Non-Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Chicken Soup,"capsicum, curd, eggs, mayonnaise, paneer, potato, rajma, spices",Non-Veg
Chicken Noodles,"butter, capsicum, curd, mustard seeds, potato",Non-Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Prawn Masala,"chicken, oil, rice, salt, spices",Non-Veg
Grilled Veggie Wrap,"chicken, curd, eggs, garlic, paneer, poha",Non-Veg
Butter Chicken,"chicken, egg, ginger, paneer, pasta",Non-Veg
Bhindi Fry,"bread, eggs, onion, pepper, rice, spices, yogurt",Non-Veg
Fish Curry,"butter, chole, eggs, lemon juice, mayonnaise",Non-Veg
Fish Fry,"butter, egg, lemon juice, paneer, pepper, rajma, rice, soy sauce",Non-Veg
Chicken Cutlet,"bread, egg, mushroom, oil, poha",Non-Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Upma,"bread, ginger, oil, palak, pasta, yogurt",Veg
Fish Curry,"chicken, garlic, mustard seeds, onion, paneer, pasta, tomato, yogurt",Non-Veg
Tomato Soup,"butter, garlic, onion, pepper, salt, tomato",Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Dal Tadka,"butter, capsicum, garlic, lemon juice, mushroom, onion, pepper, rice",Veg
Bhindi Fry,"bread, pepper, salt, spices, tomato",Veg
Chicken Cutlet,"butter, chicken, lemon juice, mayonnaise, mustard seeds, tomato",Non-Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Fish Curry,"chicken, eggs, lemon juice, onion, palak, poha, rajma, rice",Non-Veg
Butter Chicken,"eggs, palak, pepper, spices, tomato",Non-Veg
Fish Fry,"garlic, mayonnaise, oil, palak, salt",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Fish Curry,"capsicum, ginger, rice, soy sauce, spices, yogurt",Non-Veg
Keema Pav,"capsicum, curd, garlic, mushroom, rajma",Non-Veg
Fish Curry,"onion, palak, poha, rajma, soy sauce, yogurt",Non-Veg
Cheese Sandwich,"bread, egg, eggs, green chili, palak, potato, rajma, yogurt",Non-Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Fish Curry,"capsicum, chicken, curd, palak, potato, rice, yogurt",Non-Veg
Keema Pav,"butter, egg, mayonnaise, mushroom, spices, yogurt",Non-Veg
Keema Pav,"curd, egg, eggs, ginger, mustard seeds, potato, rice, yogurt",Non-Veg
Fish Fry,"capsicum, curd, garlic, mushroom, oil, pasta, rice, spices",Non-Veg
Tomato Soup,"butter, garlic, onion, pepper, salt, tomato",Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Grilled Veggie Wrap,"eggs, mayonnaise, pepper, poha, soy sauce, tomato",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Mix Veg Curry,"egg, garlic, ginger, lemon juice, mushroom, soy sauce, spices",Non-Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Mutton Rogan Josh,"bread, butter, garlic, lemon juice, paneer, potato, rajma",Non-Veg
Mutton Rogan Josh,"mushroom, oil, palak, poha, salt, soy sauce, tomato, yogurt",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Veg Biryani,"ginger, green chili, lemon juice, mushroom, mustard seeds, palak, paneer, yogurt",Veg
Veg Biryani,"curd, eggs, lemon juice, onion, paneer, salt, yogurt",Non-Veg
Mix Veg Curry,"egg, lemon juice, oil, palak, paneer, pasta",Non-Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Matar Paneer,"butter, mustard seeds, oil, onion, palak, pepper",Veg
Egg Bhurji,"bread, chole, garlic, paneer, pepper, tomato",Non-Veg
Chicken Cutlet,"bread, mushroom, onion, palak, pasta, poha, soy sauce, yogurt",Non-Veg
Upma,"chole, onion, pepper, poha, rice",Veg
Tomato Soup,"butter, garlic, onion, pepper, salt, tomato",Veg
Vegetable Pulao,"butter, mustard seeds, potato, rice, soy sauce",Veg
Fish Fry,"chicken, green chili, poha, rice, soy sauce, yogurt",Non-Veg
Fish Curry,"capsicum, chicken, chole, curd, ginger, green chili, mushroom, salt",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Chicken Cutlet,"garlic, onion, palak, pepper, rajma, rice",Non-Veg
Chicken Noodles,"chole, eggs, garlic, lemon juice, mushroom, mustard seeds, pepper, yogurt",Non-Veg
Bhindi Fry,"butter, chole, egg, garlic, paneer",Non-Veg
Chicken Cutlet,"bread, green chili, mushroom, mustard seeds, rice, soy sauce, yogurt",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Upma,"butter, egg, lemon juice, oil, palak, rice, soy sauce, yogurt",Non-Veg
Aloo Paratha,"chicken, chole, mayonnaise, potato, rajma",Veg
Aloo Paratha,"butter, lemon juice, mayonnaise, salt, yogurt",Veg
Cheese Sandwich,"bread, butter, chicken, paneer, poha, salt, soy sauce, yogurt",Veg
Chicken Noodles,"chole, green chili, mustard seeds, oil, palak, spices, tomato",Non-Veg
Chicken Noodles,"butter, egg, paneer, pasta, salt, soy sauce, yogurt",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Fish Curry,"egg, garlic, green chili, lemon juice, mushroom, onion, pepper, yogurt",Non-Veg
Chicken Soup,"capsicum, garlic, palak, salt, soy sauce, tomato",Non-Veg
Chicken Cutlet,"bread, chicken, curd, eggs, ginger, green chili, palak",Non-Veg
Grilled Veggie Wrap,"capsicum, curd, garlic, green chili, mayonnaise, salt",Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Chicken Noodles,"bread, egg, mushroom, mustard seeds, rice, yogurt",Non-Veg
Tomato Soup,"butter, garlic, onion, pepper, salt, tomato",Veg
Veg Biryani,"butter, eggs, garlic, ginger, onion, potato, soy sauce, spices",Non-Veg
Fish Curry,"capsicum, ginger, lemon juice, mushroom, pepper, yogurt",Non-Veg
Fish Fry,"capsicum, lemon juice, onion, rajma, rice, salt, tomato",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Egg Bhurji,"chole, curd, eggs, lemon juice, mayonnaise, palak, poha",Non-Veg
Chicken Noodles,"chicken, curd, ginger, paneer, pasta, rajma, salt, yogurt",Non-Veg
Keema Pav,"bread, chole, curd, garlic, green chili, paneer, potato, rice",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Chicken Cutlet,"bread, eggs, green chili, onion, poha, rice, tomato",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Matar Paneer,"egg, green chili, mushroom, palak, salt, soy sauce",Non-Veg
Cheese Sandwich,"eggs, ginger, mayonnaise, mushroom, oil, potato, rice, soy sauce",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Butter Chicken,"bread, egg, garlic, ginger, lemon juice, palak, tomato",Non-Veg
Chicken Soup,"butter, chicken, ginger, onion, pasta, spices",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Keema Pav,"mushroom, mustard seeds, pepper, rice, salt, soy sauce",Non-Veg
Rajma,"chole, egg, garlic, rajma, soy sauce",Non-Veg
Chicken Soup,"capsicum, chole, lemon juice, mustard seeds, pasta, tomato",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Chicken Cutlet,"bread, butter, mayonnaise, paneer, pasta",Non-Veg
Cheese Sandwich,"bread, capsicum, curd, mayonnaise, mushroom, pasta",Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Keema Pav,"curd, onion, pepper, salt, spices, tomato",Non-Veg
Matar Paneer,"curd, egg, mayonnaise, soy sauce, tomato, yogurt",Non-Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Tomato Soup,"butter, garlic, onion, pepper, salt, tomato",Veg
Mutton Rogan Josh,"butter, mayonnaise, mustard seeds, potato, soy sauce",Non-Veg
Aloo Paratha,"curd, egg, green chili, potato, soy sauce",Non-Veg
Dal Tadka,"butter, capsicum, ginger, mustard seeds, pasta, pepper, soy sauce",Veg
Prawn Masala,"curd, garlic, mushroom, onion, rice, salt",Non-Veg
Rajma,"chicken, curd, paneer, pepper, rice, soy sauce",Veg
Mix Veg Curry,"egg, eggs, green chili, mushroom, oil, onion, tomato, yogurt",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Mix Veg Curry,"bread, butter, chole, garlic, rajma, spices",Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Dal Tadka,"chicken, garlic, ginger, mayonnaise, paneer, yogurt",Veg
Butter Chicken,"chicken, garlic, pasta, rajma, yogurt",Non-Veg
Fish Curry,"chicken, chole, eggs, ginger, lemon juice, spices, yogurt",Non-Veg
Matar Paneer,"capsicum, garlic, lemon juice, palak, potato, rice, salt, spices",Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Tomato Soup,"butter, garlic, onion, pepper, salt, tomato",Veg
Aloo Paratha,"bread, curd, eggs, garlic, green chili, tomato",Non-Veg
Upma,"capsicum, chole, lemon juice, paneer, poha, rajma, salt",Veg
Butter Chicken,"bread, chicken, chole, curd, onion, pasta",Non-Veg
Egg Bhurji,"butter, chole, curd, mayonnaise, mustard seeds, pepper",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Prawn Masala,"chicken, eggs, green chili, oil, pepper, rice, tomato",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Cheese Sandwich,"eggs, mustard seeds, onion, poha, potato, yogurt",Non-Veg
Chicken Noodles,"ginger, lemon juice, mushroom, mustard seeds, onion, rajma, spices, tomato",Non-Veg
Chicken Soup,"egg, palak, paneer, pepper, rajma, soy sauce, yogurt",Non-Veg
Chicken Soup,"chole, garlic, mayonnaise, onion, palak, pasta, potato, rajma",Non-Veg
Rajma,"bread, capsicum, chole, mustard seeds, oil, tomato, yogurt",Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Chicken Noodles,"bread, chicken, egg, poha, rice, salt, soy sauce",Non-Veg
Keema Pav,"curd, eggs, mayonnaise, mushroom, palak, pepper, rajma",Non-Veg
Veg Biryani,"bread, butter, chole, garlic, mustard seeds, potato, rajma, spices",Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Chicken Noodles,"butter, eggs, garlic, mayonnaise, palak, rajma, soy sauce, tomato",Non-Veg
Chicken Cutlet,"butter, chole, curd, egg, green chili, mushroom, poha, soy sauce",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Rajma,"butter, chicken, eggs, mustard seeds, pasta",Non-Veg
Dal Tadka,"eggs, green chili, lemon juice, mushroom, onion, pepper, potato, salt",Non-Veg
Vegetable Pulao,"bread, butter, mayonnaise, mushroom, onion, paneer, pasta, rice",Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Mix Veg Curry,"eggs, onion, pasta, pepper, soy sauce",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Keema Pav,"butter, chole, egg, mustard seeds, tomato, yogurt",Non-Veg
Mix Veg Curry,"butter, ginger, lemon juice, poha, potato, yogurt",Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Chole,"chicken, green chili, lemon juice, onion, pepper, tomato",Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Mutton Rogan Josh,"butter, chicken, green chili, lemon juice, mushroom, spices",Non-Veg
Vegetable Pulao,"egg, garlic, green chili, palak, rice",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Keema Pav,"butter, chicken, chole, paneer, poha, potato, yogurt",Non-Veg
Chicken Soup,"chole, egg, ginger, rajma, rice, soy sauce",Non-Veg
Chicken Cutlet,"bread, eggs, lemon juice, mayonnaise, potato, rajma, rice, spices",Non-Veg
Vegetable Pulao,"bread, butter, chole, egg, lemon juice, onion, pasta, potato",Non-Veg
Keema Pav,"curd, green chili, mayonnaise, rajma, spices, tomato",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Mutton Rogan Josh,"bread, curd, lemon juice, mushroom, potato",Non-Veg
Keema Pav,"ginger, lemon juice, mayonnaise, mushroom, poha",Non-Veg
Fish Curry,"chicken, curd, mayonnaise, poha, spices, yogurt",Non-Veg
Grilled Veggie Wrap,"curd, mushroom, pepper, rice, salt, spices",Veg
Veg Biryani,"chicken, eggs, mushroom, pasta, rice",Non-Veg
Grilled Veggie Wrap,"chole, egg, eggs, lemon juice, mayonnaise, pepper, soy sauce, spices",Non-Veg
Grilled Veggie Wrap,"egg, mushroom, oil, onion, pepper, rajma, salt",Non-Veg
Matar Paneer,"bread, curd, egg, mushroom, oil, palak, paneer",Non-Veg
Mutton Rogan Josh,"capsicum, ginger, green chili, lemon juice, mustard seeds, salt",Non-Veg
Chicken Soup,"bread, chicken, chole, ginger, onion, rice",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Bhindi Fry,"bread, mayonnaise, mustard seeds, onion, potato",Veg
Mutton Rogan Josh,"chicken, chole, egg, oil, poha, tomato, yogurt",Non-Veg
Dal Tadka,"ginger, palak, paneer, pepper, poha, rice, tomato",Veg
Bhindi Fry,"eggs, green chili, pasta, pepper, potato, salt, soy sauce, yogurt",Non-Veg
Upma,"ginger, green chili, pepper, potato, rajma, tomato",Veg
Chicken Noodles,"capsicum, chicken, ginger, mushroom, mustard seeds, palak, rajma, salt",Non-Veg
Chicken Soup,"butter, capsicum, chole, garlic, palak, rice, spices",Non-Veg
Fish Curry,"butter, mushroom, oil, spices, tomato",Non-Veg
Chicken Cutlet,"curd, egg, lemon juice, mayonnaise, salt, spices",Non-Veg
Aloo Paratha,"chole, garlic, mushroom, oil, pepper, rice, salt, yogurt",Veg
Veg Biryani,"chole, egg, garlic, palak, pasta, potato, soy sauce",Non-Veg
Keema Pav,"egg, lemon juice, pasta, poha, rajma, rice",Non-Veg
Chicken Soup,"egg, garlic, ginger, green chili, paneer, rajma, tomato, yogurt",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Matar Paneer,"mayonnaise, mushroom, mustard seeds, rajma, soy sauce",Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Chicken Soup,"chicken, chole, egg, garlic, pasta, yogurt",Non-Veg
Butter Chicken,"capsicum, egg, eggs, garlic, mustard seeds, paneer, pepper, spices",Non-Veg
Aloo Paratha,"chicken, mayonnaise, mushroom, mustard seeds, poha, soy sauce",Veg
Grilled Veggie Wrap,"bread, butter, capsicum, curd, lemon juice, mustard seeds, rajma",Veg
Fish Curry,"bread, butter, paneer, potato, soy sauce",Non-Veg
Vegetable Pulao,"capsicum, chicken, eggs, mustard seeds, paneer, poha, spices, yogurt",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Mix Veg Curry,"capsicum, mustard seeds, rajma, spices, yogurt",Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Egg Bhurji,"chicken, chole, curd, egg, mushroom, pepper, tomato",Non-Veg
Aloo Paratha,"capsicum, chicken, egg, onion, pepper, rice",Non-Veg
Fish Fry,"green chili, paneer, pepper, poha, salt",Non-Veg
Aloo Paratha,"chicken, green chili, lemon juice, mayonnaise, poha, rajma, rice",Veg
Keema Pav,"chicken, onion, paneer, rajma, soy sauce, tomato",Non-Veg
Keema Pav,"bread, capsicum, egg, green chili, mayonnaise, yogurt",Non-Veg
Dal Tadka,"capsicum, lemon juice, mayonnaise, pepper, spices, yogurt",Veg
Chicken Cutlet,"butter, chole, ginger, mustard seeds, pepper, potato, soy sauce, tomato",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Butter Chicken,"bread, lemon juice, mayonnaise, pasta, poha",Non-Veg
Matar Paneer,"eggs, lemon juice, oil, palak, potato, rice",Non-Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Chicken Cutlet,"bread, butter, mayonnaise, mustard seeds, poha",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Grilled Veggie Wrap,"bread, eggs, ginger, green chili, lemon juice, onion, pasta",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Mutton Rogan Josh,"curd, mustard seeds, poha, potato, salt, spices",Non-Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Matar Paneer,"capsicum, mushroom, pepper, poha, soy sauce, tomato",Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Prawn Masala,"bread, capsicum, eggs, garlic, mustard seeds, oil, paneer, rice",Non-Veg
Bhindi Fry,"butter, chicken, garlic, oil, pasta, pepper, salt, yogurt",Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Vegetable Pulao,"chole, curd, ginger, mayonnaise, pasta, poha, spices",Veg
Upma,"ginger, lemon juice, mustard seeds, poha, soy sauce, spices",Veg
Fish Fry,"eggs, ginger, lemon juice, pasta, potato, rice, tomato",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Egg Bhurji,"eggs, garlic, lemon juice, mustard seeds, poha, rajma, soy sauce",Non-Veg
Rajma,"butter, chicken, green chili, lemon juice, rajma, rice",Veg
Butter Chicken,"butter, curd, paneer, pepper, salt, yogurt",Non-Veg
Chole,"capsicum, chicken, garlic, ginger, green chili, onion, potato, yogurt",Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Veg Biryani,"butter, chicken, palak, rajma, spices",Veg
